,V1,V2,V3,V4,V5,V6
0,1.02616999163316,1.03114775121661,1.0204730811514,1.00452626167242,0.991126698276164,0.983942495048884
5,1.02198661905403,1.02618511079145,1.01727935176551,1.00392958362676,0.99268871563725,0.986663090751853
10,1.01791293751423,1.02135511364956,1.01416371374477,1.00334192890408,0.994212011172208,0.989322709607659
15,1.01404005401386,1.01676437970119,1.01119340678107,1.00277194604851,0.995655155822293,0.991852144067732
20,1.01045775550309,1.0125177005734,1.00843491997904,1.00222826460801,0.996976495884416,0.994181524228011
25,1.00725472923365,1.00871834488025,1.005954110415,1.00171949702977,0.998134195076422,0.996240433305256
30,1.00451886195001,1.00546847041364,1.00381636512757,1.00125424129706,0.99908629407072,0.997958072554717
35,1.00233761694432,1.00286964167068,1.00208680610627,1.00084108430568,0.999790787559892,0.999263475975168
40,1.0007984888459,1.00102345249142,1.00083053818474,1.00048860597863,1.00020571883825,1.00008577477525
45,0.999989537058356,1.00003225524673,1.00011294016485,1.00020538411871,1.00028929178318,1.00035451110598
50,1,1,1,1,1,1
55,1.00087114552079,1.00097300123869,1.00051685327279,0.999867486277159,0.999306953808852,0.998975908685896
60,1.00244681711186,1.00275949156846,1.00152229944158,0.99974866653583,0.99822049414083,0.997325914996865
65,1.00452156731582,1.00510821567682,1.00283350249768,0.999570843762346,0.996761547865596,0.995116736966142
70,1.00688921920202,1.00776682427866,1.00426708848281,0.99926137981616,0.99495135889792,0.992415544077262
75,1.00937479643021,1.01052225449111,1.00567133171797,0.998765542752031,0.992817402878152,0.989291071119098
80,1.01193301072872,1.01332558781163,1.00702415638143,0.998099859228277,0.990411166333941,0.985817652389313
85,1.01455104769248,1.01616908411447,1.00833603977749,0.99729865693744,0.987789868108095,0.982070504134052
90,1.01721596753172,1.01904491800111,1.00961752080802,0.996396219965259,0.985010308253258,0.978124024948692
95,1.01991469815285,1.02194517595239,1.01087919621807,0.995426748278615,0.982128762198665,0.974051620072987
100,1.02263402990729,1.02486185409017,1.01213171794835,0.994424328951737,0.979200907188473,0.969925581093708
